字段名		意义			备注
id		数据库自增
pid		作品id			json["body"]["illustId"]
purl		作品页面		https://www.pixiv.net/artworks/{pid}
title		作品标题		json["body"]["illustTitle"]
uid		作者id			访问关注页
userName		作者			访问关注页
tag		标签组			tags.tags.tag/tags.tags.translation.en
pageCount	作品页数		pageCount
illustType	作品类型		pageCount判断单图/多图,illustType为2为动图
is_r18		是否r18			0:R18,1:正常(用tag中是否含R18判断)
viewCount	浏览人数		viewCount
bookmarkCount	收藏人数		bookmarkCount
likeCount	赞/喜欢人数		likeCount
commentCount	评论数			commentCount
urls		所有图片链接		urls
original		图片原图链接		urls.original
path		图片本地存储目录	folder类返回

# isBookmarkable	是否收藏
# likeData	是否喜欢
create_date	创建时间		createDate
updateDate	更新时间(抓取时间)
timeStamp	时间戳			datetime/time


